# t D_xx D_yy D_zz
2.042400000000000000e+04 4.320458556681387349e-09 5.448666578912490376e-10 1.705754279889343363e-09
2.042800000000000000e+04 4.312906830835070149e-09 5.568820679197840295e-10 1.700630052721224001e-09
2.043200000000000000e+04 4.293341423316517905e-09 5.710983995339880834e-10 1.709259006060430411e-09
2.043600000000000000e+04 4.274490436193395147e-09 5.830089122675056900e-10 1.724603978811677054e-09
2.044000000000000000e+04 4.267840180841786548e-09 5.883801593693445538e-10 1.737100098684808013e-09
2.044400000000000000e+04 4.276606253979963205e-09 5.851664588060093556e-10 1.740952411996002383e-09
2.044800000000000000e+04 4.294052260485180525e-09 5.745391840465531123e-10 1.736894174845944925e-09
2.045200000000000000e+04 4.308603154475332451e-09 5.608151661181980574e-10 1.730140314899576387e-09
2.045600000000000000e+04 4.311673531287279634e-09 5.499745849150493449e-10 1.725854554795927218e-09
2.046000000000000000e+04 4.302048378494498475e-09 5.469038391063481743e-10 1.725832590383937105e-09
2.046400000000000000e+04 4.284753250447576590e-09 5.531454068671211787e-10 1.728354340903227701e-09
2.046800000000000000e+04 4.267077792298660054e-09 5.664057096420479594e-10 1.730264607145346395e-09
2.047200000000000000e+04 4.254912553630538028e-09 5.813659520290285278e-10 1.729490912956092162e-09
2.047600000000000000e+04 4.250972158504759745e-09 5.917027050983136085e-10 1.726825651235832631e-09
2.048000000000000000e+04 4.255027614688473196e-09 5.933491254758790264e-10 1.725694749711863967e-09
2.048400000000000000e+04 4.264963154230959655e-09 5.870548297003721901e-10 1.729345354120934191e-09
2.048800000000000000e+04 4.277422484662981913e-09 5.779685354927887234e-10 1.737603411910479264e-09
2.049200000000000000e+04 4.288329230739635435e-09 5.727131974629015762e-10 1.746416030665945481e-09
2.049600000000000000e+04 4.294129392667862936e-09 5.759694699002187992e-10 1.750628720449268744e-09
2.050000000000000000e+04 4.293420793591129615e-09 5.877239333876921888e-10 1.747388832120238921e-09
2.050400000000000000e+04 4.287829408005186255e-09 6.024782409400032807e-10 1.737668680651418144e-09
2.050800000000000000e+04 4.281176320109996866e-09 6.120026412451939879e-10 1.725618673307998618e-09
2.051200000000000000e+04 4.276980594953377323e-09 6.107143337405139439e-10 1.716679100465353235e-09
2.051600000000000000e+04 4.276081574215408093e-09 6.000793187350126762e-10 1.715214784970256270e-09
2.052000000000000000e+04 4.276620645772084533e-09 5.886280701179209533e-10 1.722563656203745634e-09
2.052400000000000000e+04 4.276269448421713324e-09 5.869729397289802249e-10 1.736583131845977923e-09
2.052800000000000000e+04 4.274333126506317223e-09 6.008891662256317380e-10 1.752878652602831572e-09
2.053200000000000000e+04 4.272129906292303549e-09 6.271477956587319506e-10 1.766570038996436981e-09
2.053600000000000000e+04 4.271946762105568768e-09 6.550537545469889592e-10 1.773595987541197647e-09
2.054000000000000000e+04 4.275538148779720550e-09 6.727357562586234477e-10 1.771844816118147389e-09
2.054400000000000000e+04 4.282867580003927961e-09 6.737557777669243760e-10 1.762093424491063395e-09
2.054800000000000000e+04 4.291797182665204737e-09 6.599669197201731505e-10 1.747657680270237162e-09
2.055200000000000000e+04 4.299548447866924154e-09 6.400652848415492417e-10 1.732700264327389526e-09
2.055600000000000000e+04 4.305134636606287628e-09 6.253007788273501572e-10 1.720772794797525403e-09
2.056000000000000000e+04 4.309940361249051885e-09 6.240115827653692256e-10 1.714451517261520724e-09
2.056400000000000000e+04 4.315345988706730943e-09 6.373884421539974305e-10 1.715251889114156968e-09
2.056800000000000000e+04 4.320193445172502407e-09 6.592237810356152477e-10 1.723205362534092102e-09
2.057200000000000000e+04 4.321128280064961117e-09 6.801204986001490959e-10 1.736249015739199131e-09
2.057600000000000000e+04 4.315581178889646910e-09 6.930340967505503124e-10 1.749810409081583791e-09
2.058000000000000000e+04 4.304891028763089375e-09 6.964584878321891431e-10 1.757779245621224170e-09
2.058400000000000000e+04 4.294776481029634686e-09 6.940819327616413861e-10 1.755503938634167398e-09
2.058800000000000000e+04 4.291923069504290954e-09 6.916693906537586019e-10 1.742924088311562486e-09
2.059200000000000000e+04 4.299135554467290985e-09 6.931316818115740371e-10 1.725273339939029519e-09
2.059600000000000000e+04 4.313256210420291218e-09 6.986866564751648314e-10 1.710716515600332273e-09
2.060000000000000000e+04 4.327338640441844532e-09 7.062354056843736046e-10 1.706140342746170904e-09
2.060400000000000000e+04 4.335314541687383882e-09 7.136435596473279953e-10 1.713352401262526206e-09
2.060800000000000000e+04 4.336081856007818117e-09 7.195871915977728558e-10 1.728017951433270078e-09
2.061200000000000000e+04 4.334056161029093414e-09 7.234906730381045611e-10 1.742033744957951789e-09
2.061600000000000000e+04 4.335503239763069550e-09 7.258767428423393418e-10 1.747897462112413719e-09
2.062000000000000000e+04 4.343510803405014001e-09 7.286806053999760682e-10 1.742603914119026516e-09
2.062400000000000000e+04 4.355606287865653816e-09 7.341683040060398786e-10 1.728990564444443556e-09
2.062800000000000000e+04 4.365671005917827314e-09 7.429744106176408423e-10 1.713900753731945355e-09
2.063200000000000000e+04 4.368421562185732142e-09 7.533977172907912580e-10 1.704238879089219422e-09
2.063600000000000000e+04 4.363090793213545476e-09 7.624761680562774895e-10 1.703372798977890291e-09
2.064000000000000000e+04 4.353857591397187375e-09 7.676887329199363866e-10 1.710144056621840434e-09
2.064400000000000000e+04 4.346974148630076422e-09 7.684526372491053479e-10 1.720423184997098832e-09
2.064800000000000000e+04 4.346985681531351080e-09 7.665585975669380354e-10 1.729518135208861145e-09
2.065200000000000000e+04 4.354801967569949518e-09 7.649227566070504756e-10 1.734497568413580586e-09
2.065600000000000000e+04 4.368138918283128654e-09 7.657469449197319502e-10 1.735640588051051177e-09
2.066000000000000000e+04 4.382962719417750512e-09 7.696465117260466498e-10 1.735556596343907708e-09
2.066400000000000000e+04 4.394690668478277327e-09 7.758168786332121195e-10 1.736349778650437623e-09
2.066800000000000000e+04 4.399315642297015296e-09 7.825699523073505274e-10 1.737773978882082602e-09
2.067200000000000000e+04 4.395301224032711006e-09 7.880589084895824393e-10 1.738245156845251242e-09
2.067600000000000000e+04 4.385239038492347849e-09 7.910003753887612124e-10 1.736871666965036918e-09
2.068000000000000000e+04 4.375063361226998840e-09 7.909899344846486891e-10 1.733831514921205696e-09
2.068400000000000000e+04 4.370836901307019006e-09 7.885235698591634670e-10 1.729441568987440085e-09
2.068800000000000000e+04 4.375133324954704616e-09 7.848033501683604663e-10 1.723897213533876662e-09
2.069200000000000000e+04 4.385226633130733701e-09 7.810562981078537641e-10 1.718211403068914556e-09
2.069600000000000000e+04 4.394886253066628970e-09 7.778644866318671473e-10 1.715235398035838693e-09
2.070000000000000000e+04 4.398973408208715414e-09 7.752484852106092403e-10 1.718937087858933069e-09
2.070400000000000000e+04 4.397027722491007928e-09 7.730013211336717145e-10 1.731263353763872491e-09
2.070800000000000000e+04 4.393153162637692741e-09 7.706773698325988472e-10 1.749291287255061131e-09
2.071200000000000000e+04 4.392854411145006341e-09 7.678500180081357226e-10 1.766166052777214544e-09
2.071600000000000000e+04 4.398883310243991059e-09 7.649030911288540313e-10 1.775253940985959400e-09
2.072000000000000000e+04 4.408695522190982431e-09 7.634155569807439329e-10 1.773910523526295735e-09
2.072400000000000000e+04 4.416057070605887595e-09 7.653972168630092268e-10 1.764679494483273377e-09
2.072800000000000000e+04 4.416007563241296707e-09 7.716368954820954997e-10 1.753930571316398819e-09
2.073200000000000000e+04 4.408633346732980417e-09 7.800993086423338318e-10 1.748535143155283656e-09
2.073600000000000000e+04 4.398443178023923484e-09 7.857647379282231771e-10 1.752052726790311671e-09
2.074000000000000000e+04 4.390639648383301487e-09 7.831074695050609241e-10 1.762974240711047174e-09
2.074400000000000000e+04 4.387756113081256048e-09 7.704242414251918499e-10 1.776531515174740553e-09
2.074800000000000000e+04 4.389123724467441048e-09 7.525595424050263414e-10 1.788655460343364890e-09
2.075200000000000000e+04 4.393014484689852697e-09 7.388208438676249783e-10 1.798561455085184310e-09
2.075600000000000000e+04 4.398825765604649850e-09 7.369114308614778500e-10 1.807849124593495785e-09
2.076000000000000000e+04 4.406914380350847525e-09 7.474469452176525985e-10 1.817433562377576750e-09
2.076400000000000000e+04 4.416557278821304622e-09 7.633140269056627945e-10 1.825421388248631456e-09
2.076800000000000000e+04 4.424601302233981780e-09 7.742762116204110544e-10 1.828210350426963072e-09
2.077200000000000000e+04 4.427029636962244768e-09 7.732715774189325826e-10 1.824223612885655432e-09
2.077600000000000000e+04 4.422757726083820259e-09 7.602530765399657487e-10 1.816803983474738550e-09
2.078000000000000000e+04 4.415404229207952537e-09 7.417917185845549951e-10 1.812965159465311014e-09
2.078400000000000000e+04 4.410472562982782890e-09 7.270422871257250806e-10 1.818525821192745140e-09
2.078800000000000000e+04 4.410995232958386870e-09 7.223427246838133641e-10 1.833768864581624223e-09
2.079200000000000000e+04 4.415601357265038759e-09 7.277999953252333421e-10 1.853163026204116655e-09
2.079600000000000000e+04 4.419749530006945773e-09 7.379910157988719331e-10 1.868949959112462573e-09
2.080000000000000000e+04 4.419215564495122413e-09 7.457539006272320713e-10 1.875607305849666471e-09
2.080400000000000000e+04 4.413825348298499834e-09 7.464123336827689205e-10 1.872439081391758920e-09
2.080800000000000000e+04 4.408121970453825365e-09 7.401358675530608819e-10 1.863281756138122212e-09
2.081200000000000000e+04 4.407591657258743332e-09 7.310991234483740058e-10 1.853683241129953234e-09
2.081600000000000000e+04 4.413655038879650933e-09 7.241626835535996088e-10 1.847463312246375432e-09
2.082000000000000000e+04 4.422306189959588907e-09 7.219317401749891325e-10 1.845355525445984090e-09
2.082400000000000000e+04 4.427566674115246396e-09 7.244085965808987260e-10 1.846239350274895098e-09
2.082800000000000000e+04 4.426140574250927527e-09 7.305772811488980935e-10 1.848957277066128377e-09
2.083200000000000000e+04 4.419089464361297332e-09 7.395716588890436144e-10 1.853233010140750765e-09
2.083600000000000000e+04 4.409974323743194967e-09 7.502192276904223974e-10 1.859374274832577278e-09
2.084000000000000000e+04 4.402219779498307902e-09 7.600023559450502390e-10 1.866916159139035115e-09
2.084400000000000000e+04 4.397885206368153053e-09 7.652540030455492023e-10 1.873520272055895087e-09
2.084800000000000000e+04 4.397454811512946088e-09 7.630621257919248355e-10 1.875708718178188068e-09
2.085200000000000000e+04 4.399910524524638038e-09 7.536350267558078561e-10 1.871030780851195383e-09
2.085600000000000000e+04 4.403465405141196420e-09 7.412551088461106679e-10 1.859572201816584060e-09
2.086000000000000000e+04 4.406668217962587124e-09 7.323811594349149825e-10 1.843623483760570771e-09
2.086400000000000000e+04 4.408591618611991090e-09 7.315734472715778898e-10 1.826322349282616737e-09
2.086800000000000000e+04 4.408340776567939399e-09 7.383838948794539031e-10 1.810882884494966930e-09
